model,kind,segment,n,total_return,annualized_mean,sharpe,max_drawdown
nonlinear,hour,19,7,-0.0004806048724683709,-0.27689495040403195,-50.09003812168211,-0.0004806048724683709
nonlinear,hour,20,156,-0.019885202880464137,-0.5191348424115375,-20.973180260280788,-0.019741047386415023
nonlinear,hour,21,157,-0.030412162105118212,-0.7931536516782196,-32.85808100489483,-0.03027061960884081
nonlinear,hour,22,157,-0.016196950199465765,-0.4193679246285069,-24.02025547267163,-0.016153325814305064
nonlinear,hour,23,158,-0.028586648004191306,-0.740132397255521,-49.595908580026716,-0.02843523340663101
price_only,month,2024-03,36,-0.004076981929584944,-0.4575553336043349,-21.7192460197809,-0.004407728161325286
price_only,month,2024-04,208,-0.05188764687920111,-1.0328562681107842,-22.25697831409434,-0.051505722933352316
price_only,month,2024-05,223,-0.03345607039582299,-0.6152602214324637,-23.412448805388358,-0.03394079627502955
price_only,month,2024-06,190,-0.029623006194551382,-0.6381304130498442,-13.549008073676937,-0.030261471786233063
price_only,month,2024-07,217,-0.025908176333926614,-0.4877364536738295,-15.133976757428393,-0.025800352569135043
price_only,month,2024-08,212,-0.028136463335415307,-0.5427961846407117,-11.442210962343346,-0.02774092061254807
price_only,month,2024-09,195,-0.03132712482879085,-0.6581116045952432,-16.62087773075833,-0.031512732586162606
price_only,month,2024-10,225,-0.02246631968239332,-0.40718777609774354,-11.882270041606885,-0.0245948460332992
price_only,month,2024-11,197,-0.027963970658375192,-0.5804935481960384,-15.371943272016551,-0.03121577495838712
price_only,month,2024-12,178,-0.01611121131978044,-0.3679179149351679,-12.40657569692876,-0.015818522202473817
price_only,hour,8,158,-0.02047979403170752,-0.5280494241517947,-6.535870825347539,-0.027898497734903716
price_only,hour,9,158,-0.027791845381077818,-0.7192615032671774,-12.081035487604455,-0.028371502274774585
price_only,hour,10,158,-0.025373553572158092,-0.6558638322296689,-13.479267077257473,-0.028499645348861402
price_only,hour,11,158,-0.016395786225076425,-0.4218718504592368,-12.563397422918756,-0.017863055015485574
price_only,hour,12,158,-0.017377455732034752,-0.4473533608708656,-16.478334696880925,-0.017718207052243473
price_only,hour,13,158,-0.015159297281041262,-0.389812076170552,-16.179405399582844,-0.01518362432656506
price_only,hour,14,155,-0.02363993927528707,-0.622328688819805,-21.100730462576003,-0.024571789342154315
price_only,hour,15,143,-0.022761668865663887,-0.6492003527782364,-37.64537331320471,-0.02348792825498225
price_only,hour,19,7,-0.0004433235587544271,-0.2554109888808384,-50.88521744445071,-0.0004433235587544271
price_only,hour,20,156,-0.028408953174417273,-0.74489382429966,-34.93948702982019,-0.028217238945994705
price_only,hour,21,157,-0.03222484383731106,-0.8412111933866246,-36.57402607228291,-0.032089832865232926
price_only,hour,22,157,-0.018928524177577066,-0.4907730344107316,-36.0128062817192,-0.01913989903949831
price_only,hour,23,158,-0.023146125648384697,-0.5976088459295003,-34.52973494709949,-0.022988226159377456
ridge,month,2024-03,36,-0.002493270175321971,-0.2795949575407327,-15.389221764302999,-0.002493270175321971
ridge,month,2024-04,208,-0.04112404200674813,-0.8140289631485165,-16.67585487305628,-0.04349275913187145
ridge,month,2024-05,223,-0.037189742656059455,-0.6852396560651648,-21.402337025987926,-0.03728497280253451
ridge,month,2024-06,190,-0.031217492464652996,-0.6730287127105848,-18.48194430420403,-0.031703584769220416
ridge,month,2024-07,217,-0.02549539952173141,-0.47986447002662974,-16.141209608935192,-0.026131081278842894
ridge,month,2024-08,212,-0.036384620217489005,-0.7048972074670927,-15.131618764482637,-0.035992434445786925
ridge,month,2024-09,195,-0.03216548556787613,-0.6760146827748784,-15.920965532257954,-0.03172695830143457
ridge,month,2024-10,225,-0.019723374346453215,-0.3569749312363388,-10.091330806374366,-0.02023144439334723
ridge,month,2024-11,197,-0.026591842659107523,-0.5516226552913895,-15.4113610085061,-0.03090076895788685
ridge,month,2024-12,178,-0.023559579604571557,-0.5400511527710545,-16.84228528584806,-0.022991695189042427
ridge,hour,8,158,-0.020223194981209835,-0.5213652431192313,-7.912396297676477,-0.02677656615723245
ridge,hour,9,158,-0.031200973722926628,-0.8089032040463269,-12.175769333675996,-0.0358956368796548
ridge,hour,10,158,-0.01895997583039044,-0.4884849888298254,-10.526262543449246,-0.023049353127366334
ridge,hour,11,158,-0.017355886637604567,-0.4467932114930482,-11.466396783271785,-0.018128066951832
ridge,hour,12,158,-0.023674027883075932,-0.6114033060732192,-21.778017946325797,-0.023558081206378922
ridge,hour,13,158,-0.01569924004049994,-0.40380679727148544,-14.880908669834746,-0.016335262860503907
ridge,hour,14,155,-0.021824178345661305,-0.5739967780501803,-19.5123772022067,-0.023205658728939205
ridge,hour,15,143,-0.026846934616066576,-0.7673176925552441,-30.207605785425624,-0.027745956442985498
ridge,hour,19,7,-0.000295882116517987,-0.17045331740225284,-37.172783818330196,-0.000295882116517987
ridge,hour,20,156,-0.029902399529372015,-0.7846528782722287,-32.879980003819284,-0.030048431845340784
ridge,hour,21,157,-0.028871417783056463,-0.7523762589879532,-31.326630636440164,-0.028735820675593104
ridge,hour,22,157,-0.01583909541440831,-0.41002806045035817,-20.58200344008163,-0.016449201790876722
ridge,hour,23,158,-0.026291340944743058,-0.6799059038526603,-43.47842067945425,-0.026291340944743058
