decision,train_rows,rank_correlation,winner_minus_loser,quartile,rolling20_rank,rolling20_spread
2025-07-03 05:00:00+00:00,292,0.19999999999999998,0.0075574062392275996,3,0.152704627669473,0.0003483728783629473
2025-07-10 05:00:00+00:00,296,-0.7999999999999999,-0.005914506887965701,3,0.152704627669473,0.00029256965006018223
2025-07-17 05:00:00+00:00,300,0.39999999999999997,0.002905604097205399,3,0.19999999999999998,0.001137614361561717
2025-07-24 05:00:00+00:00,304,0.39999999999999997,0.0038756545429734987,3,0.19999999999999998,0.002017700519815292
2025-07-31 05:00:00+00:00,308,0.39999999999999997,0.0057760928170154,3,0.3,0.00269484479336048
2025-08-07 05:00:00+00:00,312,-0.7999999999999999,-0.0109739832262758,3,0.19999999999999998,0.0018559394712463497
2025-08-14 05:00:00+00:00,316,-0.7999999999999999,-0.0076886049075,3,0.19999999999999998,0.001038292776811885
2025-08-21 05:00:00+00:00,320,0.316227766016838,0.0013149562408838996,4,0.258113883008419,0.001365399373277455
2025-08-28 05:00:00+00:00,324,0.6000000000000001,0.0026861714494567,4,0.258113883008419,0.001083566297853725
2025-09-04 05:00:00+00:00,328,-0.7999999999999999,-0.013394106396100601,4,0.19999999999999998,9.820480089542993e-05
2025-09-11 05:00:00+00:00,332,0.39999999999999997,0.0011063526683113,4,0.19999999999999998,-5.2648434759500077e-05
