entity,model,lookback_days,test_year,test_observations,net_return,sharpe,max_drawdown,annualized_turnover
SP500,continuous,20,2018,248,-0.01593419840520094,-0.15238879300345176,-0.1670542971475002,40.95786095698308
WTI,continuous,20,2018,248,0.16254845375295401,1.339260337973195,-0.08295048710709363,16.65253035715334
portfolio,continuous,20,2018,248,0.06959065816563448,0.8518026786024794,-0.10712267262266018,28.80519565706821
SP500,continuous,20,2019,245,0.09609595986722574,0.9644350986818153,-0.07401967031652534,19.131079927932422
WTI,continuous,20,2019,245,0.057826940447700315,0.5245523354687229,-0.08078020094654315,13.129835728073326
portfolio,continuous,20,2019,245,0.076791454118871,0.9578958437055937,-0.06223649015718613,16.13045782800287
SP500,sparse,20,2016,252,0.03453348347586682,0.3345176235248001,-0.07715147838558223,13.892191283030748
WTI,sparse,20,2016,252,0.039769234550654176,0.33302517224736966,-0.09191870014918213,3.3525546175015135
portfolio,sparse,20,2016,252,0.03714805511591446,0.48293450285890366,-0.07329452550740811,8.622372950266131
SP500,sparse,20,2017,250,0.10831149397496431,1.5301204013256262,-0.044582719852982455,8.064
WTI,sparse,20,2017,250,-0.004629225738545739,-0.04502712667870209,-0.14854444258066157,5.411642993119821
portfolio,sparse,20,2017,250,0.05032417371054021,0.8061826942289555,-0.07705995194697435,6.73782149655991
SP500,sparse,20,2018,248,0.06754856350162908,0.5185700087068709,-0.10159530548956208,4.9007929974422275
WTI,sparse,20,2018,248,0.07572793129343713,0.594559191921777,-0.0953224850961194,6.335322955272567
portfolio,sparse,20,2018,248,0.07163044365624849,0.7402935957680759,-0.0832310041987987,5.618057976357397
SP500,sparse,20,2019,245,-0.06502607489310452,-0.6265376275872648,-0.1807891899132178,8.802363945364954
WTI,sparse,20,2019,245,0.06697349381039719,0.6401943980635877,-0.05713749122171574,4.859279512578529
portfolio,sparse,20,2019,245,-0.0012045276970240604,-0.01660254052261934,-0.09187883050427104,6.830821728971743
