Date,date_time,year,regime,scheduled,rate_contracts,rate_surprise,sp_future,product,valid,classification
2010-06-23,2010-06-23 14:15:00,2010,2008-2019,True,10,0.0015000000000028799,0.0034435261707988977,5.165289256208264e-06,True,information
2010-08-10,2010-08-10 14:15:00,2010,2008-2019,True,10,-0.01024999999999777,0.007186166629238715,-7.36582079496808e-05,True,conventional
2010-09-21,2010-09-21 14:15:00,2010,2008-2019,True,10,-0.0030000000000001102,0.005952380952380952,-1.7857142857143512e-05,True,conventional
2010-11-03,2010-11-03 14:15:00,2010,2008-2019,True,10,0.0042499999999946894,-0.003787878787878788,-1.6098484848464732e-05,True,conventional
2010-12-14,2010-12-14 14:15:00,2010,2008-2019,True,10,0.00174999999999839,0.0,0.0,True,unclassified
2011-01-26,2011-01-26 14:15:00,2011,2008-2019,True,10,-0.0059999999999973495,-0.00077264825188333,4.635889511297932e-06,True,information
2011-03-15,2011-03-15 14:15:00,2011,2008-2019,True,10,0.00275000000000175,0.002935420743639921,8.07240704501492e-06,True,information
2011-04-27,2011-04-27 12:30:00,2011,2008-2019,True,10,-0.00849999999999935,0.0016762898118830318,-1.424846340100468e-05,True,conventional
2011-06-22,2011-06-22 12:30:00,2011,2008-2019,True,10,0.0007500000000007401,0.0009688044952528579,7.266033714403605e-07,True,information
2011-08-09,2011-08-09 14:15:00,2011,2008-2019,True,10,-0.01150000000000089,-0.010600706713780921,0.00012190812720849002,True,information
2011-09-21,2011-09-21 14:15:00,2011,2008-2019,True,10,0.042250000000002744,-0.0069356872635561164,-0.00029303278688526494,True,conventional
2011-11-02,2011-11-02 12:30:00,2011,2008-2019,True,10,0.00549999999999781,-0.0014193025141930249,-7.806163828058529e-06,True,conventional
2011-12-13,2011-12-13 14:15:00,2011,2008-2019,True,10,0.0034999999999982302,-0.008035355564483728,-2.8123744475678826e-05,True,conventional
2012-01-25,2012-01-25 12:30:00,2012,2008-2019,True,10,-0.0090000000000003,0.0034449760765550242,-3.100478468899625e-05,True,conventional
2012-03-13,2012-03-13 14:15:00,2012,2008-2019,True,10,0.00475000000000135,-0.000180766449746926,-8.586406362981425e-07,True,conventional
2012-04-25,2012-04-25 12:30:00,2012,2008-2019,True,10,-0.00049999999999954,-0.000180897250361794,9.044862518081379e-08,True,information
2012-06-20,2012-06-20 12:30:00,2012,2008-2019,True,10,0.012749999999998322,-0.000371126368528483,-4.731861198737536e-06,True,conventional
2012-08-01,2012-08-01 14:15:00,2012,2008-2019,True,10,0.01050000000000035,-0.00163576881134133,-1.7175572519084537e-05,True,conventional
2012-09-13,2012-09-13 12:30:00,2012,2008-2019,True,10,0.01624999999999797,0.006263048016701462,0.00010177453027138604,True,information
2012-10-24,2012-10-24 14:15:00,2012,2008-2019,True,10,-0.00024999999999977,-0.00017733640716439,4.4334101791056716e-08,True,information
2012-12-12,2012-12-12 12:30:00,2012,2008-2019,True,10,-0.00175000000000265,0.0040202761754937946,-7.0354833071247946e-06,True,conventional
