matched_event_id,asset,control_release_utc,weeks_before,jump_bps
FOMC_2023_09_20,NSXUSD,2023-08-23 18:00:00+00:00,4,3.5211537803913235
FOMC_2023_11_01,EURUSD,2023-10-25 18:00:00+00:00,1,1.3244281327878915
FOMC_2023_11_01,EURUSD,2023-10-18 18:00:00+00:00,2,9.678154695011031
FOMC_2023_11_01,EURUSD,2023-10-11 18:00:00+00:00,3,1.2259351307087496
FOMC_2023_11_01,EURUSD,2023-10-04 18:00:00+00:00,4,3.329512352333004
FOMC_2023_11_01,GBPUSD,2023-10-25 18:00:00+00:00,1,2.2273092958514464
FOMC_2023_11_01,GBPUSD,2023-10-18 18:00:00+00:00,2,11.928512612821278
FOMC_2023_11_01,GBPUSD,2023-10-11 18:00:00+00:00,3,2.603425145891332
FOMC_2023_11_01,GBPUSD,2023-10-04 18:00:00+00:00,4,4.938149775664357
FOMC_2023_11_01,AUDUSD,2023-10-25 18:00:00+00:00,1,11.878460998046313
FOMC_2023_11_01,AUDUSD,2023-10-18 18:00:00+00:00,2,16.723731080156472
FOMC_2023_11_01,AUDUSD,2023-10-11 18:00:00+00:00,3,0.781268311373255
FOMC_2023_11_01,AUDUSD,2023-10-04 18:00:00+00:00,4,5.371333009596013
FOMC_2023_11_01,NZDUSD,2023-10-25 18:00:00+00:00,1,8.087622077810908
FOMC_2023_11_01,NZDUSD,2023-10-18 18:00:00+00:00,2,13.824061184186853
FOMC_2023_11_01,NZDUSD,2023-10-11 18:00:00+00:00,3,0.0
FOMC_2023_11_01,NZDUSD,2023-10-04 18:00:00+00:00,4,5.91630974769663
FOMC_2023_11_01,USDJPY,2023-10-25 18:00:00+00:00,1,1.733564479604439
FOMC_2023_11_01,USDJPY,2023-10-18 18:00:00+00:00,2,3.9386242694494915
FOMC_2023_11_01,USDJPY,2023-10-11 18:00:00+00:00,3,4.424274591698838
FOMC_2023_11_01,USDJPY,2023-10-04 18:00:00+00:00,4,2.753609092220006
FOMC_2023_11_01,USDCHF,2023-10-25 18:00:00+00:00,1,1.0036297952642106
FOMC_2023_11_01,USDCHF,2023-10-18 18:00:00+00:00,2,8.460896691771499
FOMC_2023_11_01,USDCHF,2023-10-11 18:00:00+00:00,3,2.436107555121758
FOMC_2023_11_01,USDCHF,2023-10-04 18:00:00+00:00,4,1.746839317059374
FOMC_2023_11_01,USDCAD,2023-10-25 18:00:00+00:00,1,0.9426061617166577
FOMC_2023_11_01,USDCAD,2023-10-18 18:00:00+00:00,2,8.907971032117365
FOMC_2023_11_01,USDCAD,2023-10-11 18:00:00+00:00,3,0.8818730990335193
FOMC_2023_11_01,USDCAD,2023-10-04 18:00:00+00:00,4,3.712263249373064
FOMC_2023_11_01,EURJPY,2023-10-25 18:00:00+00:00,1,0.441527559275158
FOMC_2023_11_01,EURJPY,2023-10-18 18:00:00+00:00,2,6.144159916105792
FOMC_2023_11_01,EURJPY,2023-10-11 18:00:00+00:00,3,5.626199271607635
FOMC_2023_11_01,EURJPY,2023-10-04 18:00:00+00:00,4,0.5111265869984137
FOMC_2023_11_01,XAUUSD,2023-10-25 18:00:00+00:00,1,5.865829437163841
FOMC_2023_11_01,XAUUSD,2023-10-18 18:00:00+00:00,2,19.95744135817996
FOMC_2023_11_01,XAUUSD,2023-10-11 18:00:00+00:00,3,6.137873915818908
FOMC_2023_11_01,XAUUSD,2023-10-04 18:00:00+00:00,4,6.13346538321879
FOMC_2023_11_01,XAGUSD,2023-10-25 18:00:00+00:00,1,13.59321425680995
FOMC_2023_11_01,XAGUSD,2023-10-18 18:00:00+00:00,2,20.979028673419794
FOMC_2023_11_01,XAGUSD,2023-10-11 18:00:00+00:00,3,3.1868157152092302
FOMC_2023_11_01,XAGUSD,2023-10-04 18:00:00+00:00,4,9.529709588596697
FOMC_2023_11_01,SPXUSD,2023-10-25 18:00:00+00:00,1,11.288101218719145
FOMC_2023_11_01,SPXUSD,2023-10-18 18:00:00+00:00,2,26.127790766767642
FOMC_2023_11_01,SPXUSD,2023-10-11 18:00:00+00:00,3,7.872028127084593
FOMC_2023_11_01,SPXUSD,2023-10-04 18:00:00+00:00,4,13.415743415393859
FOMC_2023_11_01,NSXUSD,2023-10-25 18:00:00+00:00,1,21.971937121601847
FOMC_2023_11_01,NSXUSD,2023-10-18 18:00:00+00:00,2,27.98410509852372
FOMC_2023_11_01,NSXUSD,2023-10-11 18:00:00+00:00,3,10.619584037157654
FOMC_2023_11_01,NSXUSD,2023-10-04 18:00:00+00:00,4,13.410103136046246
FOMC_2023_12_13,EURUSD,2023-12-06 19:00:00+00:00,1,1.1134204287022071
FOMC_2023_12_13,EURUSD,2023-11-29 19:00:00+00:00,2,4.277763432104874
FOMC_2023_12_13,EURUSD,2023-11-22 19:00:00+00:00,3,3.0318203557116266
FOMC_2023_12_13,EURUSD,2023-11-15 19:00:00+00:00,4,2.120685450363717
FOMC_2023_12_13,GBPUSD,2023-12-06 19:00:00+00:00,1,0.15904319613701842
FOMC_2023_12_13,GBPUSD,2023-11-29 19:00:00+00:00,2,3.6948088356772026
FOMC_2023_12_13,GBPUSD,2023-11-22 19:00:00+00:00,3,4.563851970210949
FOMC_2023_12_13,GBPUSD,2023-11-15 19:00:00+00:00,4,0.24162273832171982
FOMC_2023_12_13,AUDUSD,2023-12-06 19:00:00+00:00,1,0.45701402279299125
FOMC_2023_12_13,AUDUSD,2023-11-29 19:00:00+00:00,2,5.7323016760269345
FOMC_2023_12_13,AUDUSD,2023-11-22 19:00:00+00:00,3,5.503577464177387
FOMC_2023_12_13,AUDUSD,2023-11-15 19:00:00+00:00,4,1.228916404509392
FOMC_2023_12_13,NZDUSD,2023-12-06 19:00:00+00:00,1,2.7612867771751786
FOMC_2023_12_13,NZDUSD,2023-11-29 19:00:00+00:00,2,4.056038279709205
FOMC_2023_12_13,NZDUSD,2023-11-22 19:00:00+00:00,3,5.8131328609119715
FOMC_2023_12_13,NZDUSD,2023-11-15 19:00:00+00:00,4,0.9962970966185819
FOMC_2023_12_13,USDJPY,2023-12-06 19:00:00+00:00,1,0.8149018387331641
FOMC_2023_12_13,USDJPY,2023-11-29 19:00:00+00:00,2,4.145274955641282
FOMC_2023_12_13,USDJPY,2023-11-22 19:00:00+00:00,3,3.0736335936215022
FOMC_2023_12_13,USDJPY,2023-11-15 19:00:00+00:00,4,2.774859788285224
FOMC_2023_12_13,USDCHF,2023-12-06 19:00:00+00:00,1,0.5722493406380995
FOMC_2023_12_13,USDCHF,2023-11-29 19:00:00+00:00,2,7.1034936133958055
FOMC_2023_12_13,USDCHF,2023-11-22 19:00:00+00:00,3,5.314007055871704
FOMC_2023_12_13,USDCHF,2023-11-15 19:00:00+00:00,4,1.4630660262769681
FOMC_2023_12_13,USDCAD,2023-12-06 19:00:00+00:00,1,2.063359894131093
FOMC_2023_12_13,USDCAD,2023-11-29 19:00:00+00:00,2,2.7991808895599193
FOMC_2023_12_13,USDCAD,2023-11-22 19:00:00+00:00,3,2.992384040079339
FOMC_2023_12_13,USDCAD,2023-11-15 19:00:00+00:00,4,0.36550642747246315
FOMC_2023_12_13,EURJPY,2023-12-06 19:00:00+00:00,1,0.5040767205837781
FOMC_2023_12_13,EURJPY,2023-11-29 19:00:00+00:00,2,0.18555228090784992
FOMC_2023_12_13,EURJPY,2023-11-22 19:00:00+00:00,3,0.18414341089404057
FOMC_2023_12_13,EURJPY,2023-11-15 19:00:00+00:00,4,0.913767739152517
FOMC_2023_12_13,XAUUSD,2023-12-06 19:00:00+00:00,1,3.004304550723603
FOMC_2023_12_13,XAUUSD,2023-11-29 19:00:00+00:00,2,2.734217479115481
FOMC_2023_12_13,XAUUSD,2023-11-22 19:00:00+00:00,3,9.453673933840392
FOMC_2023_12_13,XAUUSD,2023-11-15 19:00:00+00:00,4,0.1530151638062826
FOMC_2023_12_13,XAGUSD,2023-12-06 19:00:00+00:00,1,1.2517472321441228
FOMC_2023_12_13,XAGUSD,2023-11-29 19:00:00+00:00,2,14.339204241368806
FOMC_2023_12_13,XAGUSD,2023-11-22 19:00:00+00:00,3,16.103063061039098
FOMC_2023_12_13,XAGUSD,2023-11-15 19:00:00+00:00,4,5.5525895713850115
FOMC_2023_12_13,SPXUSD,2023-12-06 19:00:00+00:00,1,1.6006020575085644
FOMC_2023_12_13,SPXUSD,2023-11-29 19:00:00+00:00,2,0.019713546832636698
FOMC_2023_12_13,SPXUSD,2023-11-22 19:00:00+00:00,3,1.5831545373875895
FOMC_2023_12_13,SPXUSD,2023-11-15 19:00:00+00:00,4,1.716367407958548
FOMC_2023_12_13,NSXUSD,2023-12-06 19:00:00+00:00,1,0.8832184030097202
FOMC_2023_12_13,NSXUSD,2023-11-29 19:00:00+00:00,2,4.1354006850717795
FOMC_2023_12_13,NSXUSD,2023-11-22 19:00:00+00:00,3,2.206235816044165
FOMC_2023_12_13,NSXUSD,2023-11-15 19:00:00+00:00,4,0.8512372593446865
FOMC_2024_01_31,EURUSD,2024-01-24 19:00:00+00:00,1,1.9280294221930174
FOMC_2024_01_31,EURUSD,2024-01-17 19:00:00+00:00,2,4.141148813846075
FOMC_2024_01_31,EURUSD,2024-01-10 19:00:00+00:00,3,0.2734992866399634
FOMC_2024_01_31,EURUSD,2024-01-03 19:00:00+00:00,4,8.898797414859777
FOMC_2024_01_31,GBPUSD,2024-01-24 19:00:00+00:00,1,2.2784501923287492
FOMC_2024_01_31,GBPUSD,2024-01-17 19:00:00+00:00,2,5.0489910979661445
FOMC_2024_01_31,GBPUSD,2024-01-10 19:00:00+00:00,3,0.47097240110487326
FOMC_2024_01_31,GBPUSD,2024-01-03 19:00:00+00:00,4,10.997315073756443
FOMC_2024_01_31,AUDUSD,2024-01-24 19:00:00+00:00,1,2.1254307872752687
FOMC_2024_01_31,AUDUSD,2024-01-17 19:00:00+00:00,2,6.882049592980694
FOMC_2024_01_31,AUDUSD,2024-01-10 19:00:00+00:00,3,0.8958299123591913
FOMC_2024_01_31,AUDUSD,2024-01-03 19:00:00+00:00,4,17.87283953826007
