event_id,asset,weeks_before,control_release_utc,status,reason
FOMC_2023_02_01,NSXUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,NSXUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_03_22,EURUSD,1,2023-03-15 18:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURUSD,2,2023-03-08 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURUSD,3,2023-03-01 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURUSD,4,2023-02-22 19:00:00+00:00,rejected,missing/nonpositive observed quote
FOMC_2023_03_22,EURUSD,5,2023-02-15 19:00:00+00:00,selected,
FOMC_2023_03_22,EURUSD,6,2023-02-08 19:00:00+00:00,selected,
FOMC_2023_03_22,EURUSD,7,2023-02-01 19:00:00+00:00,rejected,FOMC date
FOMC_2023_03_22,EURUSD,8,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_03_22,EURUSD,9,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_03_22,EURUSD,10,2023-01-11 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,EURUSD,11,2023-01-04 19:00:00+00:00,valid_not_selected,
FOMC_2023_03_22,EURUSD,12,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
